wine,type,color,glass,serving,servingF,servingC,abvH,abvL,calL,calH,open,storage
Albarino,Dry White,Platinum Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Barbera,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,3-5 Years
Cabernet Franc,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Cabernet Rose,Rose,Deep Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,
Cabernet Sauvignon,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,10-20 Years
Carignan,Light Red,Pale Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,
Chenin Blanc,Sweet White,Pale Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Chenin Blanc,Sweet White,Deep Gold,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Gamay,Light Red,Ruby,Light Red Wine Glass,Cool,54,12,10,15,120,180,2 Days,1-3 Years
Gargenega,Dry White,Platinum Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,3-5 Years
Gewurtraminer,Sweet White,Pale Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Grenache,Light Red,Deep Pink,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,5-10 Years
Grenache,Light Red,Pale Ruby,Light Red Wine Glass,Cool,54,12,10,15,120,180,2 Days,5-10 Years
Gruner Veltliner,Dry White,Green Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Madeira,Dessert,Twany,Dessert Wine Glass,Room,68,20,14,20,190,290,1 Month,
Malbec,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Marsala,Dessert,Twany,Dessert Wine Glass,Room,68,20,14,20,190,290,1 Month,
Merlot,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,4-7 Years
Merlot Rose,Rose,Deep Pink,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,
Moscato,Sweet White,Pale Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Mourvedre,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,
Muscadet,Sparkling,Almost Clear,Sparkling Wine Flute,Ice Cold,43,6,9,14,120,160,2 Days,
Muscat,Dessert,Twany,Dessert Wine Glass,Room,68,20,14,20,190,290,1 Month,5-10 Years
Nebbiolo,Medium Red,Pale Ruby,Light Red Wine Glass,Cool,54,12,10,15,120,180,2 Days,10-20 Years
Nero d'Avola,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Petit Verdot,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,
Petite Sirah,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,3-5 Years
Pinot Gris,Dry White,Platinum Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Pinot Noir,Light Red,Pale Ruby,Light Red Wine Glass,Cool,54,12,10,15,120,180,2 Days,3-5 Years
Pinot Noir Rose,Rose,Pale Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,
Port,Dessert,Twany,Dessert Wine Glass,Room,68,20,14,20,190,290,1 Month,
Riesling,Sparkling,Almost Clear,Sparkling Wine Flute,Ice Cold,43,6,9,14,120,160,2 Days,
Sangioverse,Medium Red,Deep Pink,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,5-10 Years
Sangioverse,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Sauvignon,Bold Red,Deep Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,
Sauvignon Blanc,Dry White,Green Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,1-3 Years
Semillon,Rich White,Platinum Yellow,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,3-5 Years
Semillon,Rich White,Deep Gold,White Wine Glass,Ice Cold,43,6,9,14,110,170,1 Week,3-5 Years
Sherry,Dessert,Twany,Dessert Wine Glass,Room,68,20,14,20,190,290,1 Month,
Sparkling Wine,Sparkling,Almost Clear,Sparkling Wine Flute,Ice Cold,43,6,9,14,120,160,2 Days,
Syrah,Bold Red,Deep Purple,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Tempranillo,Medium Red,Deep Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,5-10 Years
Tempranillo,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,5-10 Years
Vinho Verde,Sparkling,Almost Clear,Sparkling Wine Flute,Ice Cold,43,6,9,14,120,160,2 Days,1-3 Years
Zinfandel,Medium Red,Pale Salmon,Standard Wine Glass,Cold,48,9,9,14,110,170,1 Week,3-5 Years
Zinfandel,Medium Red,Deep Violet,Bold Red Wine Glass,Cellar,62,17,12,17,150,200,4 Days,3-5 Years
